"","Country","Date","Cum_conf_cases","Cum_susp_cases","Cum_conf_death"
"168","Nigeria","2015-02-06",19,0,7
"169","Senegal","2015-02-06",1,0,0
"170","Spain","2015-02-06",1,0,0
"171","United States of America","2015-02-06",4,0,1
"172","United Kingdom","2015-02-05",1,0,NA
"173","Guinea","2015-02-05",2621,18,1600
"174","Liberia","2015-02-05",3143,3732,NA
"175","Sierra Leone","2015-02-05",8063,2406,2920
"176","Mali","2015-02-05",7,0,NA
"177","Nigeria","2015-02-05",19,0,7
"178","Senegal","2015-02-05",1,0,0
"179","Spain","2015-02-05",1,0,0
"180","United States of America","2015-02-05",4,0,1
"181","United Kingdom","2015-02-04",1,0,NA
"182","Guinea","2015-02-04",2608,20,1597
"183","Liberia","2015-02-04",3143,3732,NA
"184","Sierra Leone","2015-02-04",8059,2394,2910
"185","Mali","2015-02-04",7,0,NA
"186","Nigeria","2015-02-04",19,0,7
"187","Senegal","2015-02-04",1,0,0
"188","Spain","2015-02-04",1,0,0
"189","United States of America","2015-02-04",4,0,1
"190","United Kingdom","2015-02-03",1,0,NA
"191","Guinea","2015-02-03",2608,20,1597
"192","Liberia","2015-02-03",3143,3717,NA
"193","Sierra Leone","2015-02-03",8059,2394,2910
"194","Mali","2015-02-03",7,0,NA
"195","Nigeria","2015-02-03",19,0,7
"196","Senegal","2015-02-03",1,0,0
"197","Spain","2015-02-03",1,0,0
"198","United States of America","2015-02-03",4,0,1
"199","Guinea","2015-02-02",2593,24,1595
"200","Liberia","2015-02-02",3138,3666,NA
"201","Sierra Leone","2015-02-02",8042,2378,2908
"202","United Kingdom","2015-02-02",1,0,NA
"203","Mali","2015-02-02",7,0,NA
"204","Nigeria","2015-02-02",19,0,7
"205","Senegal","2015-02-02",1,0,0
"206","Spain","2015-02-02",1,0,0
"207","United States of America","2015-02-02",4,0,1
"208","United Kingdom","2015-01-30",1,0,NA
"209","Guinea","2015-01-30",2575,13,1581
"210","Liberia","2015-01-30",3138,3641,NA
"211","Sierra Leone","2015-01-30",7989,2285,2850
"212","Mali","2015-01-30",7,0,NA
"213","Nigeria","2015-01-30",19,0,7
"214","Senegal","2015-01-30",1,0,0
"215","Spain","2015-01-30",1,0,0
"216","United States of America","2015-01-30",4,0,1
"217","United Kingdom","2015-01-29",1,0,NA
"218","Guinea","2015-01-29",2571,18,1579
"219","Liberia","2015-01-29",3138,3641,NA
"220","Sierra Leone","2015-01-29",7977,2273,2841
"221","Mali","2015-01-29",7,0,NA
"222","Nigeria","2015-01-29",19,0,7
"223","Senegal","2015-01-29",1,0,0
"224","Spain","2015-01-29",1,0,0
"225","United States of America","2015-01-29",4,0,1
"226","Sierra Leone","2015-01-28",7968,2263,2833
"227","Guinea","2015-01-28",2569,16,1578
"228","Liberia","2015-01-28",3138,3620,NA
"229","United Kingdom","2015-01-28",1,0,NA
"230","Mali","2015-01-28",7,0,NA
"231","Nigeria","2015-01-28",19,0,7
"232","Senegal","2015-01-28",1,0,0
"233","Spain","2015-01-28",1,0,0
"234","United States of America","2015-01-28",4,0,1
"235","Liberia","2015-01-27",3138,3620,NA
"236","Guinea","2015-01-27",2569,16,1578
"237","Sierra Leone","2015-01-27",7968,2263,2833
"238","United Kingdom","2015-01-27",1,0,NA
"239","Mali","2015-01-27",7,0,NA
"240","Nigeria","2015-01-27",19,0,7
"241","Senegal","2015-01-27",1,0,0
"242","Spain","2015-01-27",1,0,0
"243","United States of America","2015-01-27",4,0,1
"244","Guinea","2015-01-26",2559,18,1574
"245","Sierra Leone","2015-01-26",7963,2241,2829
"246","Liberia","2015-01-26",3136,3534,NA
"247","United Kingdom","2015-01-26",1,0,NA
"248","Mali","2015-01-26",7,0,NA
"249","Nigeria","2015-01-26",19,0,7
"250","Senegal","2015-01-26",1,0,0
"251","Spain","2015-01-26",1,0,0
"252","United States of America","2015-01-26",4,0,1
"253","Liberia","2015-01-23",3136,3534,NA
"254","United Kingdom","2015-01-23",1,0,NA
"255","Sierra Leone","2015-01-23",7921,2192,2793
"256","Guinea","2015-01-23",2545,9,1561
"257","Mali","2015-01-23",7,0,NA
"258","Nigeria","2015-01-23",19,0,7
"259","Senegal","2015-01-23",1,0,0
"260","Spain","2015-01-23",1,0,0
"261","United States of America","2015-01-23",4,0,1
"262","Liberia","2015-01-22",3136,3534,NA
"263","Guinea","2015-01-22",2542,12,1560
"264","Sierra Leone","2015-01-22",7909,2166,2787
"265","United Kingdom","2015-01-22",1,0,NA
"266","Mali","2015-01-22",7,0,NA
"267","Nigeria","2015-01-22",19,0,7
"268","Senegal","2015-01-22",1,0,0
"269","Spain","2015-01-22",1,0,0
"270","United States of America","2015-01-22",4,0,1
"271","Guinea","2015-01-21",2539,13,1557
"272","Liberia","2015-01-21",3135,3489,NA
"273","Sierra Leone","2015-01-21",7903,2150,2779
"274","United Kingdom","2015-01-21",1,0,NA
"275","Mali","2015-01-21",7,0,NA
"276","Nigeria","2015-01-21",19,0,7
"277","Senegal","2015-01-21",1,0,0
"278","Spain","2015-01-21",1,0,0
"279","United States of America","2015-01-21",4,0,1
"280","Guinea","2015-01-20",2539,13,1557
"281","Sierra Leone","2015-01-20",7903,2150,2779
"282","Liberia","2015-01-20",3135,3489,NA
"283","United Kingdom","2015-01-20",1,0,NA
"284","Mali","2015-01-20",7,0,NA
"285","Nigeria","2015-01-20",19,0,7
"286","Senegal","2015-01-20",1,0,0
"287","Spain","2015-01-20",1,0,0
"288","United States of America","2015-01-20",4,0,1
"289","Guinea","2015-01-19",2539,15,1556
"290","Sierra Leone","2015-01-19",7883,2136,2766
"291","United Kingdom","2015-01-19",1,0,NA
"292","Liberia","2015-01-19",3131,3454,NA
"293","Mali","2015-01-19",7,0,NA
"294","Nigeria","2015-01-19",19,0,7
"295","Senegal","2015-01-19",1,0,0
"296","Spain","2015-01-19",1,0,0
"297","United States of America","2015-01-19",4,0,1
"298","Mali","2015-01-16",7,0,NA
"299","United Kingdom","2015-01-16",1,0,NA
"300","Guinea","2015-01-16",2525,12,1541
"301","Liberia","2015-01-16",3127,3394,NA
"302","Sierra Leone","2015-01-16",7825,2074,2717
"303","Nigeria","2015-01-16",19,0,7
"304","Senegal","2015-01-16",1,0,0
"305","Spain","2015-01-16",1,0,0
"306","United States of America","2015-01-16",4,0,1
"307","Guinea","2015-01-15",2522,11,1537
"308","Liberia","2015-01-15",3127,3394,NA
"309","Sierra Leone","2015-01-15",7802,2061,2701
"310","Mali","2015-01-15",7,0,NA
"311","United Kingdom","2015-01-15",1,0,NA
"312","Nigeria","2015-01-15",19,0,7
"313","Senegal","2015-01-15",1,0,0
"314","Spain","2015-01-15",1,0,0
"315","United States of America","2015-01-15",4,0,1
"316","Mali","2015-01-14",7,0,NA
"317","United Kingdom","2015-01-14",1,0,NA
"318","Guinea","2015-01-14",2514,8,1530
"319","Liberia","2015-01-14",3127,3365,NA
"320","Sierra Leone","2015-01-14",7786,2051,2696
"321","Nigeria","2015-01-14",19,0,7
"322","Senegal","2015-01-14",1,0,0
"323","Spain","2015-01-14",1,0,0
"324","United States of America","2015-01-14",4,0,1
"325","Guinea","2015-01-13",2508,7,1523
"326","Liberia","2015-01-13",3123,3322,NA
"327","Sierra Leone","2015-01-13",7766,2041,2683
"328","Mali","2015-01-13",7,1,NA
"329","United Kingdom","2015-01-13",1,0,NA
"330","Mali","2015-01-12",7,0,NA
"331","United Kingdom","2015-01-12",1,0,NA
"332","Liberia","2015-01-12",3123,3322,NA
"333","Guinea","2015-01-12",2508,7,1523
"334","Sierra Leone","2015-01-12",7766,2041,2683
"335","Liberia","2015-01-09",3123,3309,NA
"336","Guinea","2015-01-09",2493,18,1515
"337","Sierra Leone","2015-01-09",7759,1984,2611
"338","Mali","2015-01-09",7,0,NA
"339","United Kingdom","2015-01-09",1,0,NA
"340","Mali","2015-01-08",7,0,NA
"341","United Kingdom","2015-01-08",1,0,NA
"342","Liberia","2015-01-08",3118,3232,NA
"343","Guinea","2015-01-08",2477,17,1504
"344","Sierra Leone","2015-01-08",7759,1984,2611
"345","Guinea","2015-01-07",2471,22,1499
"346","Liberia","2015-01-07",3118,3223,NA
"347","Sierra Leone","2015-01-07",7602,1819,2577
"348","Mali","2015-01-07",7,0,NA
"349","United Kingdom","2015-01-07",1,0,0
"350","Nigeria","2015-01-07",19,0,7
"351","Senegal","2015-01-07",1,0,0
"352","Spain","2015-01-07",1,0,0
"353","United States of America","2015-01-07",4,0,1
"354","Guinea","2015-01-06",2471,22,1499
"355","Liberia","2015-01-06",3118,3223,NA
"356","Sierra Leone","2015-01-06",7602,1819,2577
"357","Mali","2015-01-06",7,0,NA
"358","United Kingdom","2015-01-06",1,0,0
"359","Nigeria","2015-01-06",19,0,7
"360","Senegal","2015-01-06",1,0,0
"361","Spain","2015-01-06",1,0,0
"362","United States of America","2015-01-06",4,0,1
"363","Guinea","2015-01-05",2465,26,1488
"364","Liberia","2015-01-05",3116,3198,NA
"365","Sierra Leone","2015-01-05",7570,1915,2549
"366","Mali","2015-01-05",7,0,NA
"367","United Kingdom","2015-01-05",1,0,NA
"368","United States of America","2015-01-05",4,0,1
"369","Nigeria","2015-01-05",19,0,7
"370","Senegal","2015-01-05",1,0,0
"371","Spain","2015-01-05",1,0,0
"372","Guinea","2015-01-02",2435,19,1463
"373","Liberia","2015-01-02",3110,3132,NA
"374","Sierra Leone","2015-01-02",7476,1870,2461
"375","Mali","2015-01-02",7,0,NA
"376","United Kingdom","2015-01-02",1,0,NA
"377","United States of America","2015-01-02",4,0,1
"378","Nigeria","2015-01-02",19,0,7
"379","Senegal","2015-01-02",1,0,0
"380","Spain","2015-01-02",1,0,0
"381","Guinea","2014-12-31",2397,34,1433
"382","Liberia","2014-12-31",3110,3132,NA
"383","Sierra Leone","2014-12-31",7354,1805,2392
"384","Mali","2014-12-31",7,0,NA
"385","United States of America","2014-12-31",4,0,1
"386","Nigeria","2014-12-31",19,0,7
"387","Senegal","2014-12-31",1,0,0
"388","Spain","2014-12-31",1,0,0
"389","Guinea","2014-12-30",2397,34,1433
"390","Liberia","2014-12-30",3108,3096,NA
"391","Sierra Leone","2014-12-30",7354,1805,2392
"392","Mali","2014-12-30",7,0,NA
"393","Spain","2014-12-30",1,0,0
"394","United States of America","2014-12-30",4,0,1
"395","Nigeria","2014-12-30",19,0,7
"396","Senegal","2014-12-30",1,0,0
"397","Guinea","2014-12-29",2384,36,1422
"398","Liberia","2014-12-29",3108,3096,NA
"399","Sierra Leone","2014-12-29",7326,1796,2366
"400","Mali","2014-12-29",7,0,NA
"401","Spain","2014-12-29",1,0,0
"402","United States of America","2014-12-29",4,0,1
"403","Nigeria","2014-12-29",19,0,7
"404","Senegal","2014-12-29",1,0,0
"405","Guinea","2014-12-26",2342,19,1385
"406","Liberia","2014-12-26",3085,3020,NA
"407","Sierra Leone","2014-12-26",7160,1756,2289
"408","Mali","2014-12-26",7,0,NA
"409","Spain","2014-12-26",1,0,0
"410","United States of America","2014-12-26",4,0,1
"411","Nigeria","2014-12-26",19,0,7
"412","Senegal","2014-12-26",1,0,0
"413","Guinea","2014-12-24",2284,50,1344
"414","Liberia","2014-12-24",3085,3020,NA
"415","Sierra Leone","2014-12-24",7017,1700,2216
"416","Mali","2014-12-24",7,0,NA
"417","Spain","2014-12-24",1,0,0
"418","United States of America","2014-12-24",4,0,1
"419","Nigeria","2014-12-24",19,0,7
"420","Senegal","2014-12-24",1,0,0
"421","Guinea","2014-12-23",2284,50,1344
"422","Liberia","2014-12-23",3085,2991,NA
"423","Sierra Leone","2014-12-23",7017,1700,2216
"424","Mali","2014-12-23",7,0,NA
"425","Spain","2014-12-23",1,0,0
"426","United States of America","2014-12-23",4,0,1
"427","Nigeria","2014-12-23",19,0,7
"428","Senegal","2014-12-23",1,0,0
"429","Guinea","2014-12-22",2259,49,1323
"430","Liberia","2014-12-22",3085,2991,NA
"431","Sierra Leone","2014-12-22",6975,1677,2190
"432","Mali","2014-12-22",7,0,NA
"433","Spain","2014-12-22",1,0,0
"434","United States of America","2014-12-22",4,0,1
"435","Nigeria","2014-12-22",19,0,7
"436","Senegal","2014-12-22",1,0,0
"437","Guinea","2014-12-17",2127,26,1262
"438","Liberia","2014-12-17",2946,3050,NA
"439","Sierra Leone","2014-12-17",6702,1575,1876
"440","Mali","2014-12-17",7,0,NA
"441","United States of America","2014-12-17",4,0,1
"442","Nigeria","2014-12-17",19,0,7
"443","Senegal","2014-12-17",1,0,0
"444","Spain","2014-12-17",1,0,0
"445","Guinea","2014-12-15",2115,16,1255
"446","Liberia","2014-12-15",2946,3050,NA
"447","Sierra Leone","2014-12-15",6638,1556,1824
"448","Mali","2014-12-15",7,0,NA
"449","Spain","2014-12-15",1,0,0
"450","United States of America","2014-12-15",4,0,1
"451","Nigeria","2014-12-15",19,0,7
"452","Senegal","2014-12-15",1,0,0
"453","Guinea","2014-12-10",2051,20,1207
"454","Liberia","2014-12-10",2830,3075,NA
"455","Sierra Leone","2014-12-10",6375,1443,1559
"456","Mali","2014-12-10",7,0,NA
"457","United States of America","2014-12-10",4,0,1
"458","Nigeria","2014-12-10",19,0,7
"459","Senegal","2014-12-10",1,0,0
"460","Spain","2014-12-10",1,0,0
"461","Guinea","2014-12-03",1929,25,1117
"462","Liberia","2014-12-03",2801,3042,NA
"463","Sierra Leone","2014-12-03",5978,1255,1374
"464","Mali","2014-12-03",7,0,NA
"465","United States of America","2014-12-03",4,0,1
"466","Nigeria","2014-12-03",19,0,7
"467","Senegal","2014-12-03",1,0,0
"468","Spain","2014-12-03",1,0,0
"469","Guinea","2014-12-01",1921,24,1102
"470","Liberia","2014-12-01",2801,3042,NA
"471","Sierra Leone","2014-12-01",5831,1199,1321
"472","Mali","2014-12-01",7,0,NA
"473","Spain","2014-12-01",1,0,0
"474","United States of America","2014-12-01",4,0,1
"475","Nigeria","2014-12-01",19,0,7
"476","Senegal","2014-12-01",1,0,0
"477","Guinea","2014-11-26",1850,74,1050
"478","Liberia","2014-11-26",2727,2687,NA
"479","Sierra Leone","2014-11-26",5441,1079,1189
"480","Mali","2014-11-26",7,0,5
"481","Spain","2014-11-26",1,0,0
"482","United States of America","2014-11-26",4,0,1
"483","Nigeria","2014-11-26",19,0,7
"484","Senegal","2014-11-26",1,0,0
"485","Guinea","2014-11-21",1745,86,998
"486","Liberia","2014-11-21",2669,2663,NA
"487","Sierra Leone","2014-11-21",5152,959,1058
"488","Mali","2014-11-21",5,0,5
"489","Spain","2014-11-21",1,0,0
"490","United States of America","2014-11-21",4,0,1
"491","Nigeria","2014-11-21",19,0,7
"492","Senegal","2014-11-21",1,0,0
"493","Guinea","2014-11-19",1698,63,982
"494","Liberia","2014-11-19",2643,2664,NA
"495","Sierra Leone","2014-11-19",5056,938,1041
"496","Mali","2014-11-19",5,0,4
"497","Spain","2014-11-19",1,0,0
"498","United States of America","2014-11-19",4,0,1
"499","Nigeria","2014-11-19",19,0,7
"500","Senegal","2014-11-19",1,0,0
"501","Guinea","2014-11-14",1647,64,958
"502","Liberia","2014-11-14",2562,2600,NA
"503","Sierra Leone","2014-11-14",4683,824,978
"504","Mali","2014-11-14",3,0,NA
"505","Spain","2014-11-14",1,0,0
"506","United States of America","2014-11-14",4,0,1
"507","Nigeria","2014-11-14",19,0,7
"508","Senegal","2014-11-14",1,0,0
"509","Guinea","2014-11-12",1612,58,934
"510","Liberia","2014-11-12",2553,2582,NA
"511","Sierra Leone","2014-11-12",4523,766,960
"512","Mali","2014-11-12",2,0,2
"513","Spain","2014-11-12",1,0,0
"514","United States of America","2014-11-12",4,0,1
"515","Nigeria","2014-11-12",19,0,7
"516","Senegal","2014-11-12",1,0,0
"517","Guinea","2014-11-07",1479,77,850
"518","Liberia","2014-11-07",2514,2476,NA
"519","Sierra Leone","2014-11-07",4149,634,921
"520","Mali","2014-11-07",1,0,1
"521","Spain","2014-11-07",1,0,0
"522","United States of America","2014-11-07",4,0,1
"523","Nigeria","2014-11-07",19,0,7
"524","Senegal","2014-11-07",1,0,0
"525","Guinea","2014-11-05",1457,70,837
"526","Liberia","2014-11-05",2451,2447,NA
"527","Sierra Leone","2014-11-05",4057,623,893
"528","Mali","2014-11-05",1,0,1
"529","Spain","2014-11-05",1,0,0
"530","United States of America","2014-11-05",4,0,1
"531","Nigeria","2014-11-05",19,0,7
"532","Senegal","2014-11-05",1,0,0
"533","Guinea","2014-10-31",1409,54,NA
"534","Liberia","2014-10-31",2515,2480,NA
"535","Sierra Leone","2014-10-31",3778,1238,NA
"536","Mali","2014-10-31",1,0,1
"537","Spain","2014-10-31",1,0,0
"538","United States of America","2014-10-31",4,0,1
"539","Nigeria","2014-10-31",19,0,7
"540","Senegal","2014-10-31",1,0,0
"541","Guinea","2014-10-29",1391,316,NA
"542","Liberia","2014-10-29",2515,2480,NA
"543","Sierra Leone","2014-10-29",3700,1213,NA
"544","Mali","2014-10-29",1,0,1
"545","Spain","2014-10-29",1,0,0
"546","United States of America","2014-10-29",4,0,1
"547","Nigeria","2014-10-29",19,0,7
"548","Senegal","2014-10-29",1,0,0
"549","Guinea","2014-10-25",1312,47,732
"550","Liberia","2014-10-25",965,1594,1241
"551","Sierra Leone","2014-10-25",3389,470,1008
"552","Mali","2014-10-25",1,NA,1
"553","Spain","2014-10-25",1,NA,0
"554","United States of America","2014-10-25",4,NA,1
"555","Nigeria","2014-10-25",19,0,7
"556","Senegal","2014-10-25",1,0,0
"557","Guinea","2014-10-22",1289,58,710
"558","Liberia","2014-10-22",965,1594,1241
"559","Sierra Leone","2014-10-22",3223,446,986
"560","Spain","2014-10-22",1,NA,0
"561","United States of America","2014-10-22",3,NA,1
"562","Nigeria","2014-10-22",19,0,7
"563","Senegal","2014-10-22",1,0,0
"564","Guinea","2014-10-17",1217,111,671
"565","Sierra Leone","2014-10-17",2977,396,932
"566","Nigeria","2014-10-17",19,0,7
"567","Senegal","2014-10-17",1,0,0
"568","Spain","2014-10-17",1,NA,0
"569","United States of America","2014-10-17",3,NA,1
"570","Guinea","2014-10-15",1184,98,653
"571","Liberia","2014-10-15",950,1376,NA
"572","Sierra Leone","2014-10-15",2849,366,926
"573","Nigeria","2014-10-15",19,0,7
"574","Senegal","2014-10-15",1,0,0
"575","Spain","2014-10-15",1,NA,0
"576","United States of America","2014-10-15",2,NA,1
"577","Guinea","2014-10-10",1097,73,598
"578","Liberia","2014-10-10",943,1259,1072
"579","Sierra Leone","2014-10-10",2593,320,753
"580","Nigeria","2014-10-10",19,0,7
"581","Senegal","2014-10-10",1,0,0
"582","Spain","2014-10-10",1,NA,0
"583","United States of America","2014-10-10",1,NA,0
"584","Guinea","2014-10-08",1044,74,587
"585","Liberia","2014-10-08",941,1188,1018
"586","Sierra Leone","2014-10-08",2455,297,725
"587","Nigeria","2014-10-08",19,0,7
"588","Senegal","2014-10-08",1,0,0
"589","United States of America","2014-10-08",1,NA,0
"590","Guinea","2014-10-03",977,45,562
"591","Liberia","2014-10-03",931,1190,934
"592","Sierra Leone","2014-10-03",2179,221,575
"593","Nigeria","2014-10-03",19,0,7
"594","Senegal","2014-10-03",1,0,0
"595","United States of America","2014-10-03",1,NA,0
"596","Guinea","2014-10-01",950,37,535
"597","Liberia","2014-10-01",927,1113,890
"598","Sierra Leone","2014-10-01",2076,191,574
"599","Nigeria","2014-10-01",19,0,7
"600","Senegal","2014-10-01",1,0,0
"601","Guinea","2014-09-26",876,36,481
"602","Liberia","2014-09-26",914,1005,792
"603","Sierra Leone","2014-09-26",1816,168,557
"604","Nigeria","2014-09-26",19,0,7
"605","Senegal","2014-09-26",1,0,0
"606","Guinea","2014-09-24",832,28,468
"607","Liberia","2014-09-24",890,921,671
"608","Sierra Leone","2014-09-24",1745,158,552
"609","Nigeria","2014-09-24",19,0,7
"610","Senegal","2014-09-24",1,0,0
"611","Guinea","2014-09-22",818,28,465
"612","Liberia","2014-09-22",863,817,670
"613","Sierra Leone","2014-09-22",1640,136,545
"614","Nigeria","2014-09-22",19,0,7
"615","Senegal","2014-09-22",1,0,0
"616","Guinea","2014-09-18",750,30,435
"617","Liberia","2014-09-18",812,675,631
"618","Sierra Leone","2014-09-18",1513,123,517
"619","Nigeria","2014-09-18",19,1,7
